Metric,Value
Total Users,492
Activation Rate,59.8%
All-Time MAU,294
Total Sessions,619
Total Turns,5150
Deep Session Rate,54.4%
S1→S2,27.6%
S2→S3,56.8%
Active Last 7D,7
Active Last 30D,36
Ghost Count,380
DECEMBER 2025 Signups,40
DECEMBER 2025 MAU,34
DECEMBER 2025 Act Rate,82.5%
DECEMBER 2025 Sessions,48
JANUARY 2026 Signups,70
JANUARY 2026 MAU,56
JANUARY 2026 Act Rate,75.0%
JANUARY 2026 Sessions,93
FEBRUARY 2026 Signups,104
FEBRUARY 2026 MAU,86
FEBRUARY 2026 Act Rate,76.0%
FEBRUARY 2026 Sessions,169
MARCH 2026 Signups,148
MARCH 2026 MAU,61
MARCH 2026 Act Rate,39.7%
MARCH 2026 Sessions,108
